1,Carminda Pestana,Ativo,Santa Maria,23,2020-08-11
2,Deolinda Vilela,Ativo,Novo Hamburgo,34,2020-03-05
3,Emídio Dornelles,Ativo,Porto Alegre,34,2020-02-05
4,Felisbela Dornelles,Ativo,Porto Alegre,36,2020-02-05
5,Graça Ornellas,Ativo,Porto Alegre,12,2020-02-05
6,Matilde Rebouças,Ativo,Porto Alegre,22,2019-01-05
7,Noêmia   Orriça,Ativo,Santa Maria,45,2019-10-05
8,Roque Vásquez,Ativo,Porto Alegre,65,2020-03-05
9,Uriel Queiroz,Ativo,Porto Alegre,54,2018-05-05
10,Viviana Sequeira,Ativo,Porto Alegre,0,2020-09-05
